data;time-casa;gol-casa;chutes-casa;chutesgol-casa;possebola-casa;passes-casa;Precisaopasse-casa;faltas-casa;cartaoamarelo-casa;cartaovermelho-casa;impedimentos-casa;escanteios-casa;time-fora;gol-fora;chutes-fora;chutesgol-fora;possebola-fora;passes-fora;Precisaopasse-fora;faltas-fora;cartaoamarelo-fora;cartaovermelho-fora;impedimentos-fora;escanteios-fora
08/08/21;Santos;0;11;5;57%;561;87%;17;1;0;3;5;Corinthians;0;9;5;43%;426;84%;9;1;0;1;3
08/08/21;América-MG;1;15;7;44%;365;77%;17;2;0;1;4;Fluminense;0;7;2;56%;462;79%;13;2;0;1;8
08/08/21;Ceará SC;0;19;5;41%;350;79%;18;2;0;1;6;Atlético-GO;0;7;2;59%;516;82%;15;2;0;0;3
08/08/21;Flamengo;0;11;7;64%;559;87%;9;1;1;1;7;Internacional;4;9;5;36%;331;76%;15;2;0;0;2
08/08/21;Juventude;1;6;1;34%;310;75%;17;1;0;1;4;Atlético-MG;2;20;4;66%;586;88%;14;3;0;2;5
15/08/21;Flamengo;2;17;9;65%;637;87%;14;4;0;2;6;Sport Recife;0;4;2;35%;348;77%;11;1;0;0;3
14/08/21;Atlético-MG;2;15;6;67%;658;89%;14;2;0;1;11;Palmeiras;0;1;1;33%;322;80%;14;0;1;1;2
09/08/21;Grêmio;2;20;3;54%;547;82%;14;1;0;2;9;Chapecoense;1;6;2;46%;474;81%;10;3;0;0;3
14/08/21;Bragantino;1;5;1;54%;456;81%;14;4;0;1;2;Juventude;2;13;6;46%;379;80%;14;4;0;2;9
14/08/21;São Paulo;2;12;6;64%;553;84%;14;3;0;2;6;Grêmio;1;9;3;36%;312;73%;16;1;0;1;2
15/08/21;Corinthians;3;7;3;61%;631;87%;7;1;0;0;7;Ceará SC;1;15;6;39%;399;79%;16;1;0;0;6
15/08/21;Fortaleza;1;12;2;45%;390;82%;17;2;0;4;6;Santos;1;8;2;55%;471;83%;13;1;0;1;2
15/08/21;Bahia;1;16;8;54%;489;84%;18;2;0;3;4;Atlético-GO;2;12;3;46%;433;81%;11;0;0;1;5
15/08/21;Internacional;4;17;7;35%;347;83%;14;2;0;2;5;Fluminense;2;10;5;65%;622;89%;8;0;0;0;8
15/08/21;Cuiabá;1;12;2;39%;331;83%;15;1;0;2;3;Athletico-PR;0;9;1;61%;499;87%;20;1;0;1;5
18/08/21;Cuiabá;0;10;2;53%;415;79%;12;1;0;0;2;Grêmio;1;7;3;47%;370;75%;10;5;0;2;7
16/08/21;Chapecoense;1;10;5;41%;300;68%;10;1;1;1;3;América-MG;1;18;6;59%;402;83%;11;1;0;3;9
21/08/21;Atlético-GO;1;16;2;70%;559;85%;13;2;1;1;6;Chapecoense;1;8;2;30%;234;73%;24;5;0;3;1
21/08/21;Juventude;1;19;4;56%;495;84%;8;1;0;0;5;Fortaleza;1;16;4;44%;395;79%;9;1;0;2;9
21/08/21;Grêmio;2;15;6;53%;489;82%;12;1;0;0;4;Bahia;0;9;3;47%;425;80%;15;1;0;0;2
22/08/21;Santos;2;10;4;52%;434;81%;19;2;0;2;4;Internacional;2;13;4;48%;406;77%;14;2;0;1;4
22/08/21;Palmeiras;0;31;7;66%;544;86%;8;1;0;4;13;Cuiabá;2;9;4;34%;306;73%;14;1;0;3;3
22/08/21;Athletico-PR;0;16;4;44%;479;85%;12;1;1;1;4;Corinthians;1;8;2;56%;599;86%;7;0;0;1;2
22/08/21;Ceará SC;1;12;5;37%;338;73%;13;0;0;1;4;Flamengo;1;18;5;63%;582;84%;12;2;0;0;5
22/08/21;Sport Recife;0;15;4;48%;382;76%;15;2;0;0;3;São Paulo;1;12;3;52%;422;79%;17;2;0;0;7
28/08/21;Sport Recife;0;20;7;55%;415;81%;17;0;1;1;11;Chapecoense;0;15;2;45%;354;79%;17;1;0;2;5
28/08/21;Santos;0;11;2;49%;445;87%;14;4;0;3;4;Flamengo;4;18;11;51%;456;86%;14;4;0;2;5
28/08/21;Grêmio;0;11;2;44%;462;85%;17;1;1;0;6;Corinthians;1;6;1;56%;593;87%;7;2;0;0;4
23/08/21;América-MG;0;14;3;51%;440;81%;14;2;0;2;9;Bragantino;2;10;3;49%;449;79%;15;0;0;2;0
23/08/21;Fluminense;1;9;3;34%;306;80%;16;3;0;2;6;Atlético-MG;1;19;7;66%;602;87%;16;3;0;1;6
29/08/21;Bragantino;1;5;0;33%;333;75%;16;3;0;1;1;Atlético-MG;1;26;8;67%;653;90%;18;4;0;1;17
29/08/21;América-MG;2;19;4;38%;285;71%;19;1;0;2;9;Ceará SC;0;6;2;62%;481;77%;13;2;0;1;2
29/08/21;Atlético-GO;0;8;3;52%;429;81%;13;1;0;3;6;Internacional;0;7;3;48%;397;76%;15;2;0;1;6
29/08/21;Juventude;1;9;2;39%;298;75%;15;2;0;0;3;São Paulo;1;7;4;61%;460;82%;21;5;0;3;8
28/08/21;Palmeiras;2;16;3;49%;459;86%;10;3;0;4;8;Athletico-PR;1;11;4;51%;489;84%;16;0;0;1;3
30/08/21;Fluminense;2;6;4;48%;391;77%;19;2;0;2;3;Bahia;0;10;2;52%;398;75%;21;4;0;3;8
02/09/21;Fluminense;1;12;6;64%;579;87%;23;2;0;1;7;Juventude;1;7;2;36%;330;78%;18;1;0;1;2
04/09/21;Cuiabá;2;14;5;36%;330;74%;11;3;0;0;3;Santos;1;18;5;64%;551;89%;11;1;0;1;5
30/08/21;Fortaleza;0;19;4;65%;539;85%;15;2;0;2;7;Cuiabá;0;11;5;35%;307;76%;17;5;0;2;4
04/09/21;Bahia;4;13;8;40%;315;69%;25;3;0;2;6;Fortaleza;2;18;6;60%;467;78%;7;1;0;0;4
07/09/21;Chapecoense;1;11;3;55%;519;84%;18;0;0;1;8;Fluminense;2;9;2;45%;439;82%;4;0;0;0;4
07/09/21;Corinthians;1;11;2;59%;628;89%;15;3;0;0;2;Juventude;1;12;7;41%;437;85%;20;4;0;1;2
11/09/21;América-MG;2;27;6;56%;426;81%;14;1;0;3;9;Athletico-PR;0;7;1;44%;350;75%;17;1;0;1;5
11/09/21;Juventude;1;17;6;63%;560;86%;12;3;0;4;5;Cuiabá;2;3;1;37%;349;74%;13;4;1;1;0
05/09/21;Athletico-PR;0;16;3;59%;481;86%;10;1;0;2;9;Sport Recife;0;9;2;41%;346;78%;9;1;1;3;7
12/09/21;Grêmio;2;13;3;41%;359;78%;22;0;0;0;5;Ceará SC;0;8;1;59%;508;83%;9;0;0;0;4
11/09/21;Bragantino;1;12;5;56%;501;87%;17;4;1;2;3;Chapecoense;2;22;6;44%;387;82%;13;2;0;1;6
12/09/21;Palmeiras;1;12;5;59%;509;89%;14;0;1;2;7;Flamengo;3;11;4;41%;379;81%;15;2;0;1;4
12/09/21;Fortaleza;0;14;4;48%;451;81%;13;1;0;1;5;Atlético-MG;2;11;4;52%;488;84%;18;2;0;1;4
11/09/21;Santos;0;10;1;65%;566;82%;16;1;0;0;5;Bahia;0;13;4;35%;312;68%;20;4;0;0;1
18/09/21;Chapecoense;0;15;3;54%;461;85%;16;2;0;1;8;Palmeiras;2;13;7;46%;419;83%;14;2;0;1;1
13/09/21;Sport Recife;0;14;3;51%;434;83%;21;4;0;2;5;Internacional;1;11;4;49%;449;79%;20;1;0;1;4
12/09/21;Atlético-GO;1;11;5;52%;481;85%;10;4;0;2;4;Corinthians;1;8;2;48%;444;82%;10;2;0;2;5
12/09/21;Fluminense;2;8;5;42%;309;78%;16;5;0;0;4;São Paulo;1;8;7;58%;417;83%;16;4;0;3;5
18/09/21;Athletico-PR;2;27;7;60%;479;86%;18;5;0;0;9;Juventude;1;15;3;40%;341;82%;7;1;1;0;3
18/09/21;Atlético-MG;3;22;9;60%;560;87%;18;2;0;0;6;Sport Recife;0;7;1;40%;367;82%;13;3;0;3;4
19/09/21;Internacional;1;18;5;59%;497;88%;12;3;1;2;8;Fortaleza;0;11;5;41%;358;86%;15;1;1;1;4
18/09/21;Ceará SC;0;10;4;51%;390;71%;17;3;0;0;6;Santos;0;7;1;49%;390;73%;13;2;0;0;4
