"data","time.casa","gol.casa","chutes.casa","chutesgol.casa","possebola.casa","passes.casa","Precisaopasse.casa","faltas.casa","cartaoamarelo.casa","cartaovermelho.casa","impedimentos.casa","escanteios.casa","time.fora","gol.fora","chutes.fora","chutesgol.fora","possebola.fora","passes.fora","Precisaopasse.fora","faltas.fora","cartaoamarelo.fora","cartaovermelho.fora","impedimentos.fora","escanteios.fora"
"28/07/19","Chapecoense",0,16,4,"47%",360,"76%",16,1,0,0,10,"Bahia",0,16,7,"53%",411,"74%",15,1,0,1,5
"27/07/19","Fluminense",1,14,4,"72%",660,"89%",20,1,0,0,4,"São Paulo",2,13,5,"28%",264,"78%",14,3,0,0,2
"28/07/19","Flamengo",3,15,5,"63%",488,"86%",23,5,0,0,5,"Botafogo",2,12,3,"37%",290,"76%",16,2,0,3,4
"27/07/19","Internacional",1,11,5,"55%",490,"82%",11,3,0,1,6,"Ceará SC",0,9,2,"45%",408,"75%",12,3,0,0,6
"03/08/19","Ceará SC",2,11,4,"35%",229,"62%",14,3,0,4,8,"Fortaleza",1,11,4,"65%",427,"81%",16,0,1,2,4
"29/07/19","CSA",0,10,2,"40%",350,"82%",13,4,0,0,2,"Grêmio",0,15,0,"60%",526,"85%",13,2,0,2,6
"28/07/19","Fortaleza",1,14,3,"48%",408,"87%",18,2,0,2,1,"Corinthians",3,14,5,"52%",450,"87%",16,1,0,1,1
"28/07/19","Santos",3,18,10,"60%",435,"81%",9,2,0,4,15,"Avaí",1,11,4,"40%",308,"73%",13,2,0,0,4
"28/07/19","Goiás",0,16,2,"45%",397,"85%",14,1,0,1,7,"Atlético-MG",0,11,0,"55%",486,"87%",9,0,0,3,4
"04/08/19","Santos",6,19,10,"62%",500,"84%",15,3,0,4,6,"Goiás",1,20,2,"38%",311,"79%",8,4,0,1,6
"03/08/19","Fluminense",2,22,6,"61%",640,"88%",8,1,0,0,8,"Internacional",1,15,4,"39%",412,"83%",12,2,0,0,5
"04/08/19","Corinthians",1,9,7,"50%",371,"79%",11,1,0,1,3,"Palmeiras",1,8,6,"50%",373,"77%",24,3,0,3,5
"04/08/19","Bahia",3,10,7,"31%",273,"65%",18,1,1,4,4,"Flamengo",0,13,1,"69%",582,"82%",14,1,0,2,7
"04/08/19","Avaí",0,30,4,"60%",507,"85%",12,2,1,3,16,"Botafogo",2,9,5,"40%",368,"78%",11,1,0,0,1
"10/08/19","Ceará SC",4,8,5,"39%",292,"79%",20,3,0,4,2,"Chapecoense",1,14,3,"61%",459,"83%",11,2,0,1,4
"04/08/19","Atlético-MG",2,15,6,"38%",359,"82%",19,2,0,0,6,"Cruzeiro",0,14,4,"62%",595,"88%",13,3,0,2,6
"07/08/19","Corinthians",2,19,6,"64%",575,"89%",13,1,0,0,6,"Goiás",0,11,3,"36%",318,"79%",11,2,1,4,5
"04/08/19","Vasco da Gama",0,18,2,"57%",511,"83%",13,4,0,0,8,"CSA",0,12,2,"43%",395,"72%",14,1,0,1,5
"05/08/19","Grêmio",3,23,9,"69%",583,"88%",17,4,0,3,11,"Chapecoense",3,9,4,"31%",268,"71%",16,3,0,0,3
"11/08/19","Internacional",0,7,1,"56%",551,"84%",16,3,0,3,9,"Corinthians",0,8,1,"44%",447,"78%",8,2,0,0,3
"10/08/19","São Paulo",3,20,7,"42%",263,"71%",21,6,0,1,5,"Santos",2,14,3,"58%",367,"76%",15,1,0,1,2
"10/08/19","Atlético-MG",2,19,9,"41%",373,"80%",14,4,0,4,3,"Fluminense",1,21,7,"59%",527,"87%",13,2,1,2,5
